[60.97645695, 11.7424729190277]
[52.3907026, 0.2664618]
[-33.3936877, -70.6433701]
[51.3363097, -0.267381604280449]
[0, 0]
[37.5664532, 126.9387065]
[41.97621, -72.59176]
[34.73715315, 135.494958251607]
[52.5764242, -1.1775103]
[51.6517122, -0.0832141]
[51.6519706, -0.0793861]
[0, 0]
[34.91667, 33.62917]
[43.6916643, -79.3069741]
[51.3751, -2.36172]
[50.9787, 11.03283]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[2.5, 27]
[55.4819561, 8.43944291956478]
[0, 0]
[51.4644669, -0.2662869]
[0, 0]
[0, 0]
[20.8294797, 106.72445175]
[53.974308, -1.5342791]
[38.7042261, -9.3983152]
[50.93604, 4.0355]
[50.7733195, 0.259146559219269]
[0, 0]
[55.8635652, -4.2087412]
[0, 0]
[45.4568106, 4.4098318]
[0, 0]
[53.0171751, -1.30386]
[51.199944, 6.1319949]
[53.0171751, -1.30386]
[53.046843, -121.9397746]
[53.4387191, -2.96645389390874]
[52.0940158, -1.9483083]
[0, 0]
[0, 0]
[44.9033, -93.56635]
[54.97559195, -1.6219728063928]
[55.8722424, -2.0893616]
[55.8722424, -2.0893616]
[0, 0]
[52.49399555, 5.06557276472631]
[53.8143915, -1.6697743]
[38.2493581, -122.0399663]
[53.1618983, 29.2278361]
[56.005439, -3.75304548851238]
[51.3783813, 0.2235899]
[42.211832, 12.7574126]
[-0.95, -80.316667]
[53.99983, -125.0032]
[53.99983, -125.0032]
[0, 0]
[40.9876671, 29.0366076354803]
[0, 0]
[0, 0]
[47.54163625, 7.62011637328294]
[51.2918693, -0.7539836]
[53.5563035, -3.0656565]
[37.97945, 23.71622]
[44.23464075, 22.5316061987226]
[50.93349745, 6.87511514077826]
[51.7099516, 5.29191881791502]
[0, 0]
[53.20622745, 6.5914657409432]
[0, 0]
[0, 0]
[48.47707335, 21.90530595]
[52.1248901, 11.6706865861922]
[41.1606633, -8.5827934]
[0, 0]
[0, 0]
[52.0790532, 5.1436899]
[52.49399555, 5.06557276472631]
[47.59378305, 7.5969474172877]
[47.4043419, 8.61138789284372]
[59.18454105, 10.869039833611]
[0, 0]
[41.3657177, -8.197908]
[51.4442232, -0.410659]
[0, 0]
[53.9164021, -3.0246826254755]
[51.8938646, 4.52322812996623]
[0, 0]
[60.6751091, 17.1508142]
[59.91273, 10.74609]
[55.8410627, -4.4500162]
[37.97945, 23.71622]
[-33.9265841, 18.4479335]
[51.5973246, -0.1805587]
[43.3217335, 11.3262589553953]
[55.754446, -2.1334389]
[47.8002518, -96.8014624]
[0, 0]
[60.3669326, 5.35740999731644]
[0, 0]
[50.1106529, 8.6820934]
[0, 0]
[51.0887105, 1.1663557]
[-22.9339841, -43.1745744]
[53.9246318, -3.0076372]
[0, 0]
[51.6031139, -0.7199538]
[50.1552197, -5.0688262]
[59.43696, 24.75353]
[53.9246318, -3.0076372]
[26.1223084, -80.1433786]
[-33.8604621, 18.5436794]
[44.08333, 12.03333]
[0, 0]
[0, 0]
[-20.4269962, -54.6442885]
[44.9824832, 25.6393079]
[47.3822457, 8.5340414]
[38.807926, -9.37860885540551]
[0, 0]
[58.617911, 11.6237271]
[62.0448724, -7.0322972]
[41.4626384, 15.5460328]
[0, 0]
[56.828624, -2.2851053]
[0, 0]
[57.6927516, -2.009291]
[47.47539525, 19.0952448885702]
[51.2088944, 6.7809139]
[45.5326, 5.51253]
[38.24936, -122.03997]
[-43.2924602, 172.5788591]
[64.13265555, -21.8896909516458]
[-34.010688, 18.472557]
[57.47470915, -4.20932847466099]
[48.66667, 19.5]
[50.98788975, 5.80838242650968]
[51.58602255, 0.00994942694653668]
[51.0887105, 1.1663557]
[51.69891865, -2.23779385641363]
[50.7691098, 6.1196439]
[50.99515, 5.84519070121476]
[52.2097403, -2.1682719]
[43.3995139, -75.4401754]
[41.66667, 2]
[47.98905205, 7.89302901835982]
[51.4748554, -0.221593801819923]
[47.23135, 39.72328]
[48.24845115, 16.3595972351921]
[56.1023378, -3.867607]
[56.8169712, -5.1120308]
[53.5713377, -1.2962828]
[0, 0]
[60.0733268, 10.6397383518637]
[0, 0]
[50.75, -3.75]
[52.2603992, 6.17263439585306]
[0, 0]
[53.80993575, -0.766654717976192]
[-33.6566667, 151.0427778]
[46.836931, 11.949784]
[54.9580265, -1.68091159321086]
[0, 0]
[53.99983, -125.0032]
[36.7137602, -76.2388269]
[56.0305854, -3.7825877]
[49.679313, 6.4430979]
[41.12902, 1.24901]
[0, 0]
[43.1199104, 5.9706464]
[34.6913, 135.183]
[-4.1678058, -38.9211746]
[44.41640915, 8.95341272266895]
[44.08333, 12.03333]
[0, 0]
[56.0160872, -3.7232341]
[56.0160872, -3.7232341]
[38.2097967, -84.5588311]
[48.5618483, -3.1502007]
[39.6048338, -75.7452119]
[55.861147, -4.2499891]
[19.333333, -96.666667]
[34.0756021, -110.6303945]
[34.0756021, -110.6303945]
[56.0023608, -3.7852312]
[0, 0]
[51.3842258, 0.560984550000012]
[55.2423907, -4.856007]
