

















[57.043610,10.020833]


























[51.532574,0.738836]

[50.778522,-0.732897]

[50.915699,-1.500120]

[51.651646,-0.246821]





[53.454777,-2.166817]

[52.515743,-1.464286]

[51.037430,-2.265050]


[50.825298,-1.372533]

[51.126862,-0.074791]

[52.173500,-1.205960]







[53.444511,-2.261239]

[49.464622,-2.562906]

[51.352123,-2.381561]

[53.104355,-1.118633]










[51.946060,-1.210586]

[54.762390,-1.720825]


[50.863571,-1.329728]

[51.341721,0.547006]



[52.631100,-1.929560]

[53.546398,-2.651310]

[52.038898,0.954294]

[51.957767,1.058956]





















































































[54.117901,-6.263380]









































[51.720825,0.694016]




[51.615685,0.619319]

[52.646000,0.681275]

[50.785240,0.049964]


[51.618065,-0.382033]

[52.896370,-1.256294]


[53.311531,-1.131390]


[51.186474,-2.559367]

[53.585331,-1.473665]

[51.532524,-0.328950]







[51.105000,0.855975]


[51.817074,-1.289989]

[54.943699,-1.680230]

[52.217598,-0.268869]

[51.310299,-0.614774]



[51.088554,-1.169003]

[52.768318,-0.925936]


[52.638756,1.456489]

[51.865700,0.267586]

[51.815811,1.026347]


[51.721916,-2.195898]


[51.773914,-1.227753]






















[48.217979,10.092411]























































































































[53.098888,8.781750]









[47.694344,8.633772]


































































[52.510502,-0.257442]

[53.906952,-1.943401]

[52.593960,-0.254660]


[51.399139,0.467197]

[54.142570,-3.218114]

[51.178829,-0.027224]


[52.636299,-1.057770]


[51.722660,-0.450936]


[52.989090,-1.112650]


[51.403324,-0.227036]

[51.061699,-0.518812]

[51.840000,-2.262230]


[52.868290,-2.275131]


[51.383209,0.293988]

[51.421200,-0.438678]

[50.940365,-2.510003]

[51.459949,-0.427069]









[51.289646,-2.440186]

[52.243965,-1.392578]


[50.861462,0.252419]

[50.832359,-1.777256]


[51.547607,0.111453]

[51.668022,-0.703431]


[51.998665,-1.488361]



[51.438110,-2.490855]

[53.192402,-2.512320]


[53.147263,-1.285947]


[51.211514,-0.806336]

[51.370583,-2.141658]

[53.532051,-2.518042]

[51.892899,-0.539153]

[53.311501,-1.131390]

[53.315758,-2.670263]

[51.589649,-2.102494]

[51.681343,-1.274717]

[53.492004,-2.624231]



[53.416821,-1.191689]
